CommInsure,Floor,Content,Excess
326.49,0,20000,100
324.59,0,20000,200
322.8,0,20000,300
319.27,0,20000,500
313.01,0,20000,750
306.93,0,20000,1000
292.7,0,20000,2000
273.41,0,20000,5000
282.75,1,20000,100
280.84,1,20000,200
279.05,1,20000,300
275.52,1,20000,500
269.27,1,20000,750
263.17,1,20000,1000
248.96,1,20000,2000
229.66,1,20000,5000
276.06,2,20000,100
274.16,2,20000,200
272.35,2,20000,300
268.83,2,20000,500
262.57,2,20000,750
256.48,2,20000,1000
242.27,2,20000,2000
222.97,2,20000,5000
341.16,0,22500,100
339.19,0,22500,200
337.31,0,22500,300
333.64,0,22500,500
327.14,0,22500,750
320.81,0,22500,1000
306.03,0,22500,2000
285.99,0,22500,5000
294.23,1,22500,100
292.26,1,22500,200
290.38,1,22500,300
286.72,1,22500,500
280.22,1,22500,750
273.88,1,22500,1000
259.11,1,22500,2000
239.07,1,22500,5000
287.06,2,22500,100
285.07,2,22500,200
283.21,2,22500,300
279.55,2,22500,500
273.05,2,22500,750
266.71,2,22500,1000
251.93,2,22500,2000
231.89,2,22500,5000
355.81,0,25000,100
353.76,0,25000,200
351.82,0,25000,300
348.02,0,25000,500
341.28,0,25000,750
334.69,0,25000,1000
319.37,0,25000,2000
298.58,0,25000,5000
305.72,1,25000,100
303.66,1,25000,200
301.72,1,25000,300
297.91,1,25000,500
291.17,1,25000,750
284.58,1,25000,1000
269.26,1,25000,2000
248.47,1,25000,5000
298.05,2,25000,100
296,2,25000,200
294.06,2,25000,300
290.25,2,25000,500
283.5,2,25000,750
276.93,2,25000,1000
261.59,2,25000,2000
240.82,2,25000,5000
370.41,0,27500,100
368.28,0,27500,200
366.26,0,27500,300
362.32,0,27500,500
355.34,0,27500,750
348.53,0,27500,1000
332.63,0,27500,2000
311.09,0,27500,5000
317.13,1,27500,100
315.02,1,27500,200
313.01,1,27500,300
309.06,1,27500,500
302.07,1,27500,750
295.27,1,27500,1000
279.37,1,27500,2000
257.84,1,27500,5000
308.99,2,27500,100
306.88,2,27500,200
304.86,2,27500,300
300.91,2,27500,500
293.93,2,27500,750
287.11,2,27500,1000
271.23,2,27500,2000
249.7,2,27500,5000
384.98,0,30000,100
382.79,0,30000,200
380.71,0,30000,300
376.62,0,30000,500
369.39,0,30000,750
362.34,0,30000,1000
345.9,0,30000,2000
323.63,0,30000,5000
328.57,1,30000,100
326.38,1,30000,200
324.31,1,30000,300
320.2,1,30000,500
312.99,1,30000,750
305.94,1,30000,1000
289.49,1,30000,2000
267.22,1,30000,5000
319.95,2,30000,100
317.75,2,30000,200
315.66,2,30000,300
311.57,2,30000,500
304.35,2,30000,750
297.3,2,30000,1000
280.87,2,30000,2000
258.58,2,30000,5000
424.09,0,37500,100
421.71,0,37500,200
419.44,0,37500,300
414.99,0,37500,500
407.16,0,37500,750
399.51,0,37500,1000
381.68,0,37500,2000
357.54,0,37500,5000
358.15,1,37500,100
355.78,1,37500,200
353.51,1,37500,300
349.06,1,37500,500
341.22,1,37500,750
333.58,1,37500,1000
315.74,1,37500,2000
291.6,1,37500,5000
348.08,2,37500,100
345.69,2,37500,200
343.42,2,37500,300
338.97,2,37500,500
331.14,2,37500,750
323.5,2,37500,1000
305.65,2,37500,2000
281.53,2,37500,5000
